File created on 2025-11-10T15:36:18.913383
Source data: ac_h0s_mfi_20120122000004_20120122235948_cdaweb.cdf
Ballistically propagted from L1 to upstream BATS-R-US boundary

File created on 2025-11-10 15:36:18.913263#COOR
GSM

#SATELLITEXYZ
208.861
  0.000
  0.000


#START
2012 01 22 01 35 21 381       -0.17      -7.70       9.27    -317.95       8.00      -1.62     561.28  224078.86
2012 01 22 01 35 34 201       -0.28      -7.64       9.42    -318.19       8.06      -1.72     561.17  223958.93
2012 01 22 01 35 37 406       -0.25      -7.61       9.42    -318.25       8.08      -1.75     561.14  223928.95
2012 01 22 01 35 51 571       -0.17      -7.51       9.43    -318.09       8.40      -1.83     561.06  223839.01
2012 01 22 01 36 10 463       -0.08      -7.62       9.30    -317.87       8.83      -1.94     560.95  223719.08
2012 01 22 01 36 29 357       -0.06      -7.70       9.32    -317.65       9.26      -2.05     560.84  223599.16
2012 01 22 01 36 48 257       -0.03      -7.45       9.44    -317.43       9.69      -2.16     560.73  223479.23
2012 01 22 01 36 52 982       -0.09      -7.46       9.46    -317.37       9.80      -2.18     560.71  223449.25
2012 01 22 01 37 05 128       -0.25      -7.52       9.54    -317.36       9.59      -2.05     560.62  223359.31
2012 01 22 01 37 21 326       -0.33      -7.58       9.48    -317.35       9.32      -1.87     560.51  223239.38
2012 01 22 01 37 37 521       -0.09      -7.53       9.49    -317.33       9.05      -1.69     560.41  223119.45
2012 01 22 01 37 53 719       -0.37      -7.45       9.64    -317.32       8.79      -1.52     560.30  222999.53
2012 01 22 01 37 57 767       -0.30      -7.47       9.62    -317.32       8.72      -1.47     560.27  222969.55
2012 01 22 01 38 06 272       -0.09      -7.51       9.59    -317.58       8.87      -1.78     560.19  222879.60
2012 01 22 01 38 17 621       -0.26      -7.32       9.78    -317.93       9.07      -2.20     560.08  222759.68
2012 01 22 01 38 28 983       -0.22      -6.85      10.06    -318.29       9.28      -2.61     559.97  222639.75
2012 01 22 01 38 40 352       -0.19      -7.26       9.66    -318.64       9.48      -3.03     559.86  222519.83
2012 01 22 01 38 43 197       -0.16      -7.24       9.69    -318.73       9.53      -3.13     559.83  222489.84
2012 01 22 01 38 52 926       -0.09      -7.16       9.79    -318.90       9.66      -3.22     559.75  222399.90
2012 01 22 01 39 05 898       -0.20      -7.30       9.79    -319.13       9.82      -3.34     559.64  222279.97
2012 01 22 01 39 18 879       -0.02      -7.29       9.76    -319.37       9.99      -3.46     559.53  222160.05
2012 01 22 01 39 31 860        0.02      -7.40       9.71    -319.60      10.16      -3.58     559.42  222040.12
2012 01 22 01 39 35 107       -0.00      -7.40       9.72    -319.65      10.20      -3.61     559.40  222010.14
2012 01 22 01 39 48 793       -0.06      -7.39       9.76    -319.53       9.61      -3.02     559.31  221920.20
2012 01 22 01 40 07 041       -0.04      -7.48       9.60    -319.35       8.82      -2.23     559.21  221800.27
2012 01 22 01 40 25 294        0.02      -7.52       9.62    -319.18       8.03      -1.44     559.10  221680.34
2012 01 22 01 40 43 546       -0.44      -7.69       9.47    -319.01       7.24      -0.65     558.99  221560.42
2012 01 22 01 40 48 110       -0.39      -7.66       9.49    -318.96       7.04      -0.45     558.96  221530.44
2012 01 22 01 41 05 367       -0.25      -7.55       9.54    -318.56       7.80      -1.27     558.88  221440.49
2012 01 22 01 41 28 395       -0.22      -7.53       9.58    -318.03       8.82      -2.35     558.77  221320.57
2012 01 22 01 41 51 445       -0.23      -7.56       9.65    -317.49       9.84      -3.43     558.66  221200.64
2012 01 22 01 42 14 523       -0.27      -7.50       9.63    -316.96      10.86      -4.52     558.55  221080.72
2012 01 22 01 42 20 296       -0.24      -7.51       9.63    -316.82      11.11      -4.79     558.52  221050.73
2012 01 22 01 42 28 985       -0.17      -7.56       9.60    -317.07      10.81      -4.43     558.44  220960.79
2012 01 22 01 42 40 583       -0.18      -7.47       9.69    -317.41      10.41      -3.94     558.33  220840.86
2012 01 22 01 42 52 187       -0.15      -7.42       9.65    -317.74      10.01      -3.46     558.22  220720.94
2012 01 22 01 43 03 803       -0.11      -7.38       9.70    -318.07       9.60      -2.98     558.11  220601.01
2012 01 22 01 43 06 707       -0.09      -7.39       9.69    -318.16       9.50      -2.86     558.09  220571.03
