Time,BX,BY,BZ,VX,VY,VZ,X,NP,ID
2016-05-06 11:44:33,5.4730000495910645,-3.4809999465942383,-6.519999980926514,-403.1463928222656,7.4597344398498535,-9.301641464233398,1542010.25,10.436291694641113,71
2016-05-06 11:44:55,5.636000156402588,-3.6080000400543213,-6.7230000495910645,-403.4839782714844,5.686328411102295,-5.368797302246094,1542010.875,10.424638748168945,71
2016-05-06 11:45:17,5.546999931335449,-3.510999917984009,-6.750999927520752,-403.821533203125,3.912921905517578,-1.4359532594680786,1542011.625,10.412985801696777,71
2016-05-06 11:45:53,5.551000118255615,-3.174999952316284,-6.497000217437744,-403.26092529296875,3.6667656898498535,-0.6925312280654907,1542012.75,10.65751838684082,71
2016-05-06 11:46:28,5.021999835968018,-3.506999969482422,-6.275000095367432,-402.1042785644531,4.886844158172607,-3.0976874828338623,1542013.75,11.040112495422363,71
2016-05-06 11:47:02,4.949999809265137,-2.7260000705718994,-6.297999858856201,-400.13018798828125,7.369687557220459,-5.10337495803833,1542015.25,10.65380573272705,71
2016-05-06 11:47:42,2.9040000438690186,-5.171999931335449,-6.375,-397.95330810546875,10.340749740600586,-7.118562698364258,1542017.125,10.117318153381348,71
2016-05-06 11:48:28,3.2160000801086426,-4.454999923706055,-6.039999961853027,-399.1759033203125,10.889875411987305,-6.7340312004089355,1542018.5,10.629283905029297,71
2016-05-06 11:49:21,2.6459999084472656,-5.756999969482422,-5.298999786376953,-399.5851745605469,14.698015213012695,-11.464577674865723,1542020.25,10.51965618133545,71
2016-05-06 11:49:50,3.11899995803833,-6.093999862670898,-5.015999794006348,-399.6858215332031,16.9195613861084,-14.115249633789062,1542021.25,10.382174491882324,71
2016-05-06 11:50:59,3.26200008392334,-6.059000015258789,-5.0320000648498535,-401.161865234375,13.614828109741211,-6.753390789031982,1542024.25,10.869346618652344,71
2016-05-06 11:52:17,5.639999866485596,-2.0220000743865967,-6.835999965667725,-403.1729736328125,-0.5437342524528503,-1.8763749599456787,1542026.75,10.717469215393066,71
2016-05-06 11:53:19,4.103000164031982,2.4700000286102295,-8.0,-401.9089660644531,-7.420984268188477,-0.9552499651908875,1542028.625,10.181618690490723,71
2016-05-06 11:54:40,4.267000198364258,2.9590001106262207,-6.605000019073486,-400.23773193359375,-2.522343873977661,-4.3160624504089355,1542031.25,10.97432804107666,71
2016-05-06 11:56:21,3.5390000343322754,-0.22499999403953552,-8.491999626159668,-403.59625244140625,-3.397156238555908,0.02793749049305916,1542035.375,10.422234535217285,71
2016-05-06 11:56:50,3.6449999809265137,-0.12399999797344208,-8.40999984741211,-402.1100158691406,-2.10575008392334,-1.9785000085830688,1542036.25,10.636924743652344,71
2016-05-06 11:57:17,3.6740000247955322,-0.07100000232458115,-8.20300006866455,-400.8380126953125,-1.1186093091964722,-3.4417500495910645,1542037.125,10.816849708557129,71
2016-05-06 11:57:51,3.8550000190734863,0.5419999957084656,-8.13700008392334,-400.36199951171875,-2.043515682220459,-1.2062499523162842,1542038.125,10.842350006103516,71
2016-05-06 11:58:03,3.0460000038146973,-0.8180000185966492,-8.590999603271484,-400.1940002441406,-2.369953155517578,-0.41724997758865356,1542038.5,10.851349830627441,71
2016-05-06 11:58:42,3.5160000324249268,0.3490000069141388,-8.460000038146973,-399.9571838378906,-3.062812566757202,0.02581249177455902,1542040.125,10.861719131469727,71
2016-05-06 11:59:48,3.5439999103546143,-0.07699999958276749,-8.61299991607666,-399.8834533691406,-3.8460469245910645,-1.4679532051086426,1542042.75,10.859294891357422,71
2016-05-06 12:00:19,2.931999921798706,0.7649999856948853,-8.470999717712402,-399.84881591796875,-4.213929653167725,-2.1695704460144043,1542043.75,10.85815715789795,71
2016-05-06 12:00:21,2.927000045776367,0.8889999985694885,-8.496000289916992,-399.8465881347656,-4.237664222717285,-2.2148361206054688,1542043.875,10.858083724975586,71
2016-05-06 12:00:30,3.140000104904175,0.7929999828338623,-8.13599967956543,-400.0859375,-4.3248748779296875,-2.090437650680542,1542044.125,10.905837059020996,71
2016-05-06 12:01:50,4.065999984741211,-1.5549999475479126,-7.660999774932861,-403.79876708984375,-4.735499858856201,0.4476875364780426,1542046.625,11.560993194580078,71
2016-05-06 12:02:49,3.4619998931884766,0.32199999690055847,-7.874000072479248,-403.6702575683594,-4.761656284332275,-1.3617500066757202,1542048.75,11.335391998291016,71
2016-05-06 12:03:38,3.617000102996826,-0.24199999868869781,-8.053000450134277,-402.97198486328125,-4.901000022888184,0.09600000083446503,1542051.0,11.057700157165527,71
2016-05-06 12:04:01,3.3949999809265137,0.38600000739097595,-8.093000411987305,-403.2203063964844,-3.3445467948913574,-1.68039071559906,1542051.75,11.34875774383545,71
2016-05-06 12:08:16,1.9539999961853027,1.440000057220459,-8.645999908447266,-404.44549560546875,-0.9518125653266907,-2.1968748569488525,1542060.75,11.51479721069336,71
2016-05-06 12:08:53,2.865999937057495,-0.4490000009536743,-8.416999816894531,-405.02825927734375,-3.7164063453674316,1.9355624914169312,1542061.875,11.037323951721191,71
2016-05-06 12:08:54,3.122999906539917,-0.35199999809265137,-8.276000022888184,-405.04400634765625,-3.7911250591278076,2.0472500324249268,1542061.875,11.024418830871582,71
2016-05-06 12:09:01,3.4070000648498535,-0.5509999990463257,-7.96999979019165,-405.0004577636719,-3.872312545776367,2.2969844341278076,1542062.125,10.876762390136719,71
2016-05-06 12:09:14,3.5230000019073486,-0.6129999756813049,-8.61400032043457,-404.53875732421875,-2.92900013923645,1.4432499408721924,1542062.5,10.460599899291992,71
2016-05-06 12:09:46,3.984999895095825,-0.875,-8.331000328063965,-403.4022521972656,-0.6069999933242798,-0.6582499742507935,1542063.5,9.436200141906738,71
2016-05-06 12:09:55,5.747000217437744,-1.7649999856948853,-6.820000171661377,-403.0826110839844,0.04606249928474426,-1.2492969036102295,1542063.75,9.148087501525879,71
2016-05-06 12:10:43,7.620999813079834,-2.8989999294281006,-4.550000190734863,-404.0704040527344,-0.19168749451637268,1.2699062824249268,1542065.25,9.149179458618164,71
2016-05-06 12:10:51,7.4629998207092285,-2.638000011444092,-4.749000072479248,-404.3116760253906,-0.3371874988079071,1.851156234741211,1542065.5,9.193117141723633,71
2016-05-06 12:11:54,7.289999961853027,-3.4639999866485596,-4.679999828338623,-402.83050537109375,-2.5022499561309814,2.984499931335449,1542068.25,9.336999893188477,71
2016-05-06 12:12:57,7.375999927520752,-4.093999862670898,-5.021999835968018,-400.3970642089844,-0.2652655839920044,-3.7469685077667236,1542070.5,8.83139419555664,71
2016-05-06 12:13:39,7.104000091552734,-2.9630000591278076,-5.510000228881836,-400.4789123535156,-1.4092499017715454,-1.735827922821045,1542071.75,8.75047492980957,71
2016-05-06 12:14:00,7.0879998207092285,-3.203000068664551,-5.410999774932861,-401.0911865234375,-3.241499900817871,2.0031564235687256,1542072.5,8.842350006103516,71
2016-05-06 12:14:14,6.947999954223633,-2.9260001182556152,-5.314000129699707,-401.4993591308594,-4.4629998207092285,4.495812892913818,1542072.875,8.903599739074707,71
2016-05-06 12:14:51,6.656000137329102,-3.4730000495910645,-5.224999904632568,-401.0555114746094,-3.543562412261963,2.6783437728881836,1542074.5,8.936619758605957,71
2016-05-06 12:16:17,7.415999889373779,-2.5460000038146973,-5.331999778747559,-400.46026611328125,-4.509031295776367,4.3109846115112305,1542077.75,8.82151985168457,71
2016-05-06 12:16:31,7.7270002365112305,-2.1700000762939453,-5.202000141143799,-400.7751770019531,-4.48590612411499,4.9159064292907715,1542078.125,8.829901695251465,71
2016-05-06 12:17:36,7.203999996185303,-2.242000102996826,-5.10699987411499,-404.4085693359375,0.614062488079071,3.747875213623047,1542080.25,9.1563720703125,71
2016-05-06 12:18:53,5.894999980926514,-4.784999847412109,-4.331999778747559,-402.57745361328125,6.495359420776367,0.3640156388282776,1542082.875,8.978153228759766,71
2016-05-06 12:20:41,6.048999786376953,-4.736000061035156,-4.236999988555908,-402.0931396484375,6.18640661239624,6.113890647888184,1542087.0,8.45539379119873,71
2016-05-06 12:20:53,5.5929999351501465,-4.249000072479248,-5.2170000076293945,-402.2136535644531,5.40848445892334,6.570265769958496,1542087.375,8.453664779663086,71
2016-05-06 12:21:25,5.300000190734863,-5.181000232696533,-4.915999889373779,-402.6141662597656,3.1029844284057617,7.859766006469727,1542088.375,8.47741413116455,71
2016-05-06 12:21:37,5.60699987411499,-5.072000026702881,-4.829999923706055,-402.7643737792969,2.23842191696167,8.343328475952148,1542088.75,8.486320495605469,71
2016-05-06 12:23:28,5.604000091552734,-5.060999870300293,-4.775000095367432,-400.19842529296875,4.919937610626221,1.2046562433242798,1542092.75,8.245952606201172,71
2016-05-06 12:30:15,4.1620001792907715,-5.116000175476074,-6.140999794006348,-398.56231689453125,-4.122797012329102,-1.9985156059265137,1542106.875,8.509581565856934,71
